Date,Price
06-Dec-21,73.38
07-Dec-21,75.54
08-Dec-21,75.94
09-Dec-21,74.1
10-Dec-21,74.98
13-Dec-21,74.12
14-Dec-21,73.37
15-Dec-21,73.71
16-Dec-21,74.64
17-Dec-21,72.97
20-Dec-21,70.51
21-Dec-21,72.85
22-Dec-21,74.69
23-Dec-21,76.26
24-Dec-21,75.24
29-Dec-21,78.63
30-Dec-21,78.61
31-Dec-21,77.24
03-Jan-22,78.25
04-Jan-22,79.39
05-Jan-22,80.6
06-Jan-22,81.99
07-Jan-22,82.28
10-Jan-22,81.56
11-Jan-22,84.98
12-Jan-22,85.83
13-Jan-22,85.8
14-Jan-22,87.17
17-Jan-22,87.82
18-Jan-22,88.83
19-Jan-22,89.64
20-Jan-22,89.75
21-Jan-22,89.75
24-Jan-22,87.74
25-Jan-22,89.49
26-Jan-22,91.22
27-Jan-22,90.7
28-Jan-22,91.47
31-Jan-22,92.35
01-Feb-22,90.24
02-Feb-22,91.43
03-Feb-22,92.99
04-Feb-22,96.86
07-Feb-22,97.28
08-Feb-22,96.07
09-Feb-22,94.95
10-Feb-22,96.37
11-Feb-22,97.5
14-Feb-22,101.66
15-Feb-22,98.43
16-Feb-22,97.44
17-Feb-22,95.28
18-Feb-22,96.18
21-Feb-22,98.95
22-Feb-22,98.73
23-Feb-22,99.29
24-Feb-22,101.29
25-Feb-22,98.56
28-Feb-22,103.08
01-Mar-22,110.93
02-Mar-22,118.94
03-Mar-22,115.36
04-Mar-22,123.86
07-Mar-22,129.02
08-Mar-22,133.18
09-Mar-22,116.58
10-Mar-22,114.54
11-Mar-22,118.11
14-Mar-22,110.39
15-Mar-22,105.14
16-Mar-22,104.61
17-Mar-22,113.5
18-Mar-22,114.32
21-Mar-22,122.29
22-Mar-22,121.53
23-Mar-22,127.52
24-Mar-22,123.98
25-Mar-22,122.67
28-Mar-22,114.5
29-Mar-22,112.79
30-Mar-22,115.59
31-Mar-22,107.29
01-Apr-22,106.13
04-Apr-22,108.15
05-Apr-22,106.6
06-Apr-22,100.81
07-Apr-22,99.83
08-Apr-22,101.26
11-Apr-22,97.92
12-Apr-22,104.42
13-Apr-22,108.49
14-Apr-22,110.83
19-Apr-22,105.49
20-Apr-22,105.05
21-Apr-22,107.2
22-Apr-22,105.15
25-Apr-22,99.27
26-Apr-22,102.89
27-Apr-22,103.3
28-Apr-22,105.78
29-Apr-22,108.36
03-May-22,104.94
04-May-22,110.53
05-May-22,112.11
06-May-22,113.86
09-May-22,106.67
10-May-22,102.61
11-May-22,107.7
12-May-22,108.06
13-May-22,112.12
16-May-22,114.86
17-May-22,112.89
18-May-22,110.04
19-May-22,113.22
20-May-22,113.63
23-May-22,115.13
24-May-22,115.77
25-May-22,116.41
26-May-22,119.81
27-May-22,121.19
30-May-22,123.01
31-May-22,125.53
01-Jun-22,122.2
03-Jun-22,125.68
06-Jun-22,124.99
07-Jun-22,126.89
08-Jun-22,129.2
09-Jun-22,128.47
10-Jun-22,127.44
13-Jun-22,128.44
